DescAlmacenStock	Proveedor	DMarca	DFamil_N1	DFamil_N2	DFamil_N3	DFamil_N4	DFamil_N5	LVenta	Codigo_Anterior	Cod.Artículo	Artículo	RefProv	PendRecibir	Stock	StockDisp	PendServir	PRec+Stock+Disp+PServ	SumaStocks0	PrecioAdq_Artic	PrecioInvent	PVP_artic	Oferta_Compra	Oferta_Venta	PVPanterior	%MB-Stock	%MB-Stock-Oferta	UltFechaAlbCompra	UltFechaAlbVenta	ArticActivo	Obsoleto	Comprar_Stock	Comprar_Cliente	Clasificación	Ean13	Fijo_Vendedor	Val Stock x PrecioAdq_Artic	Val Stock x PrecioInvent	Val Stock x PVP_Artic
ALMACEN REPARACIONES	*EDESA INDUSTRIAL, S.L.	FAGOR	00002 - Electrodomesticos	00007 - Pequeño Electrodoméstico	00001 - Cocina	00004 - Batidoras	 -	Pequeño Electrodoméstico	6255143	1,158E+12	BATIDORA C/A 600 W FAGOR B675MA	B675MA	0	1	1	0	2	No	22	22	37,99		27,94	40,02	0,299289287	0,047244094			S	S	N	N	LIQUIDACION	8,41388E+12		22	22	37,99
ALMACEN REPARACIONES	*GRUPO HRC HOME, S.L	ROMO	00001 - Muebles	00058 - Terraza y Jardín	00001 - Terraza y Jardin	00002 - Conjuntos	 -	Terraza y Jardín	6374091	1,365E+12	CONJUNTO JARDIN MONACHIL ROMO ROSJMONACHIL	ROSJMONACHIL	0	1	1	0	2	No	795	795	1389		799	1529	0,307451404	-0,203942428		17/11/2025	S	S	N	N	LIQUIDACION	8,43568E+12	9,99	795	795	1389
ALMACEN REPARACIONES	*INDUFEX S.L.	NEVA	00001 - Muebles	00050 - Dormitorios Matrimonio	00001 - Dormitorio	00005 - Mesitas de noche	 -	Dormitorios matrimonio	6316597	5,82004E+11	MESITA 2+1 CAJONES 55 55X60X35  NOGAL NEVA NV-662	NV-662	0	2	2	0	4	No	107,1	106,05	209				0,386026316	0,386026316			S	S	N	N	LIQUIDACION			214,2	212,1	418
ALMACEN REPARACIONES	ADAVIGAL, S.L.	PARIS	00001 - Muebles	00057 - Asientos	00002 - Sofás	00001 - Sillas	 -	Asientos	6366164	1,018E+12	SILLA BLANCA PARIS 2530020000	2530020000	0	1	1	0	2	No	14,81	14,81	29,9		10,9	29,9	0,400665552	-0,644045872		02/05/2025	S	N	N	N	LIQUIDACION	8,42751E+12	1	14,81	14,81	29,9
ALMACEN REPARACIONES	ADAVIGAL, S.L.	PARIS	00001 - Muebles	00057 - Asientos	00002 - Sofás	00001 - Sillas	 -	Asientos	6369350	1,018E+12	SILLA GRIS PARIS 2530020001	2530020001	0	3	1	0	4	No	14,81	14,81	29,9		19,9	29,9	0,400665552	0,099492462		26/11/2025	S	S	N	N	LIQUIDACION	8,43568E+12	2	44,43	44,43	89,7
ALMACEN REPARACIONES	ADAVIGAL, S.L.	SMILE	00001 - Muebles	00057 - Asientos	00002 - Sofás	00001 - Sillas	 -	Asientos	6366165	1,018E+12	SILLA GRIS ANTRACITA SMILE 2660024238	2660024238	0	4	4	0	8	No	25,86	25,86	71		29,9	71	0,559287324	-0,046508361		05/10/2023	S	N	N	N	BAJA ROTACION	8,42751E+12	2	103,44	103,44	284
ALMACEN REPARACIONES	ADI HOGAR Y HOSTELERIA IBERICA S.L.	NINGUNA	00001 - Muebles	00054 - Menaje	00002 - Servicio de Mesa	00099 - Acc. de Mesa	 -	Menage		8,45001E+11	"ACCESORIO ""C"" INVENTARIABLE"	845INV	0	1	0	0	1	No	0	0	0						13/02/2026	03/02/2026	S	N	S	S	VENDER			0	0	0
ALMACEN REPARACIONES	AGAMYD S.A	SALLY	00001 - Muebles	00056 - Auxiliares	00001 - Mueble Auxiliar	00006 - Mesas	 -	Mueble Auxiliar	6241492	1,16E+12	MESA DE CENTRO RECT. 110X45X60 SALLY 112425	112425	0	1	1	0	2	No	66	60,69	129				0,430737209	0,430737209			S	S	N	N	LIQUIDACION			66	60,69	129
ALMACEN REPARACIONES	AGAMYD S.A	XAVI	00001 - Muebles	00056 - Auxiliares	00001 - Mueble Auxiliar	00006 - Mesas	 -	Mueble Auxiliar	6265133-22	1,16E+12	MESA DE CENTRO XAVI,#ACABADO EN BLANCO		0	1	1	0	2	No	64,8	49,37	129				0,536917054	0,536917054		23/02/2024	S	N	S	S	OFERTA			64,8	49,37	129
ALMACEN REPARACIONES	ALMA SOFAS S.L.	IZNAJAR	00001 - Muebles	00057 - Asientos	00002 - Sofás	00004 - Sofas	 -	Asientos	6366813	1,464E+12	CONJUNTO 3+2 PLAZAS IZNAJAR TELA OFERTA,#ACABADO EN TELA EDA COLOR 1 CRUDO	TELA OFERTA	0	1	1	0	2	No	674,96	603,56	1361,19				0,463478574	0,463478574	04/02/2025	02/10/2024	S	N	S	S	COLECCION			674,96	603,56	1361,19
