DescAlmacenStock;Proveedor;DMarca;DFamil_N1;DFamil_N2;DFamil_N3;DFamil_N4;DFamil_N5;LVenta;Codigo_Anterior;Cod.Artículo;Artículo;RefProv;PendRecibir;Stock;StockDisp;PendServir;PRec+Stock+Disp+PServ;SumaStocks0;PrecioAdq_Artic;PrecioInvent;PVP_artic;Oferta_Compra;Oferta_Venta;PVPanterior;%MB-Stock;%MB-Stock-Oferta;UltFechaAlbCompra;UltFechaAlbVenta;ArticActivo;Obsoleto;Comprar_Stock;Comprar_Cliente;Clasificación;Ean13;Fijo_Vendedor;Val Stock x PrecioAdq_Artic;Val Stock x PrecioInvent;Val Stock x PVP_Artic
ALMACEN REPARACIONES;"*EDESA INDUSTRIAL, S.L.";FAGOR;00002 - Electrodomesticos;00007 - Pequeño Electrodoméstico;00001 - Cocina;00004 - Batidoras; -;Pequeño Electrodoméstico;6255143;01158001010000;BATIDORA C/A 600 W FAGOR B675MA;B675MA;0;1;1;0;2;No;22;22;"37,99";;"29,6";"37,99";"0,299289286654383";"0,100675675675676";;;S;S;N;N;LIQUIDACION;8413880206066;;22;22;"37,99"
ALMACEN REPARACIONES;"*GRUPO HRC HOME, S.L";CHS;00002 - Electrodomesticos;00006 - Gran Electrodoméstico;00001 - Coccion;00003 - Encimeras; -;Gran Electrodoméstico;6356829;01365001010053;ENCIMERA INDUCCION 3 F 8000 W FUEGO 32 CHS IND3328SL;IND3328SL;0;0;-2;0;-2;No;"108,75";"108,75";"328,93";;;;"0,599952877511933";"0,599952877511933";05/06/2025;05/12/2024;S;N;N;N;ULTIMAS UNIDADES;8437022725086;5;0;0;0
ALMACEN REPARACIONES;"*GRUPO HRC HOME, S.L";ROMO;00001 - Muebles;00058 - Terraza y Jardín;00001 - Terraza y Jardin;00002 - Conjuntos; -;Terraza y Jardín;6374091;01365001010094;CONJUNTO JARDIN MONACHIL ROMO ROSJMONACHIL;ROSJMONACHIL;0;1;1;0;2;No;795;795;1389;;799;1529;"0,307451403887689";"-0,203942428035044";;17/11/2025;S;S;N;N;LIQUIDACION;8435676708646;"9,99";795;795;1389
ALMACEN REPARACIONES;"*GRUPO HRC HOME, S.L";ROMO;00002 - Electrodomesticos;00006 - Gran Electrodoméstico;00001 - Coccion;00003 - Encimeras;00003 - Vitro;Gran Electrodoméstico;;01365001010130;VITROCERAMICA INDUCCION 3 FUEGOS ROMO RO-IN3F;ROIN3F;0;0;-1;0;-1;No;126;126;238;"90,62";115;238;"0,359411764705882";"-0,325739130434783";05/06/2025;22/08/2025;S;N;N;N;ULTIMAS UNIDADES;8436609660628;3;0;0;0
ALMACEN REPARACIONES;"*GRUPO HRC HOME, S.L";ROMO;00002 - Electrodomesticos;00006 - Gran Electrodoméstico;00003 - Lavado;00001 - Lavadoras; -;Gran Electrodoméstico;6401422;01365001010121;LAVADORA 6 KG 1000 RPM CLASE E ROMO RO-W6KG1000W;ROW6KG1000W;0;0;-1;0;-1;No;170;170;269;;;;"0,235315985130112";"0,235315985130112";05/06/2025;13/11/2024;S;N;N;N;LIQUIDACION;8436609660673;"2,69";0;0;0
ALMACEN REPARACIONES;"*GRUPO HRC HOME, S.L";ROMO;00002 - Electrodomesticos;00007 - Pequeño Electrodoméstico;00003 - Hogar;00006 - Planchas; -;Pequeño Electrodoméstico;6357965;01365001010065;CENTRO DE PLANCHADO ROMO RO-CP3000N;ROCP3000N;0;0;-1;0;-1;No;"36,68";"40,98";"64,452";"20,49";"28,2";"64,45";"0,230655371439211";"-0,75836170212766";18/08/2025;27/12/2025;S;N;N;N;LIQUIDACION;8437019702748;"1,5";0;0;0
ALMACEN REPARACIONES;*INDUFEX S.L.;NEVA;00001 - Muebles;00050 - Dormitorios Matrimonio;00001 - Dormitorio;00005 - Mesitas de noche; -;Dormitorios matrimonio;6316597;00582004010080;MESITA 2+1 CAJONES 55 55X60X35  NOGAL NEVA NV-662;NV-662;0;2;2;0;4;No;"107,1";"106,05";209;;;;"0,386026315789474";"0,386026315789474";;;S;S;N;N;LIQUIDACION;;;"214,2";"212,1";418
ALMACEN REPARACIONES;"ADAVIGAL, S.L.";PARIS;00001 - Muebles;00057 - Asientos;00002 - Sofás;00001 - Sillas; -;Asientos;6366164;01018001010008;SILLA BLANCA PARIS 2530020000;2530020000;0;1;0;0;1;No;"14,81";"14,81";"29,9";;"10,9";"29,9";"0,400665551839465";"-0,644045871559633";;02/05/2025;S;N;N;N;LIQUIDACION;8427507120253;1;"14,81";"14,81";"29,9"
ALMACEN REPARACIONES;"ADAVIGAL, S.L.";PARIS;00001 - Muebles;00057 - Asientos;00002 - Sofás;00001 - Sillas; -;Asientos;6369350;01018001010014;SILLA GRIS PARIS 2530020001;2530020001;0;3;1;0;4;No;"14,81";"14,81";"29,9";;"19,9";"29,9";"0,400665551839465";"0,099492462311558";;26/11/2025;S;S;N;N;LIQUIDACION;8435676704587;2;"44,43";"44,43";"89,7"
ALMACEN REPARACIONES;"ADAVIGAL, S.L.";SMILE;00001 - Muebles;00057 - Asientos;00002 - Sofás;00001 - Sillas; -;Asientos;6366165;01018001010009;SILLA GRIS ANTRACITA SMILE 2660024238;2660024238;0;4;4;0;8;No;"25,86";"25,86";71;;"29,9";71;"0,559287323943662";"-0,046508361204013";;05/10/2023;S;N;N;N;BAJA ROTACION;8427507124510;2;"103,44";"103,44";284
